name,address,origin,category1,category2,category3,file,url,area,count,lat,lon
吉野公民館,本保町１９－６,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,吉野,1,35.926424,136.15828
吉野児童館,本保町１９－９－１ ,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,吉野,1,35.925337,136.158705
家久保育園,家久町９４－２－１,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,吉野,1,35.922534,136.166934
家久スポーツ公園温水プール,家久町１０５－1,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,吉野,1,35.919519,136.17173
コミュニティセンター柳荘,家久町１０５－１０－１,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,吉野,1,35.920468,136.171896
国高小学校,国高一丁目１５－５,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/031/aedzidoutaigaisikizyozaidouki.html,国高,1,35.912465,136.185416
武生第三中学校,村国二丁目３－５６,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,国高,1,35.905913,136.175052
国高公民館,国高二丁目３２４－１３,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,国高,1,35.911353,136.189744
国高児童センター,国高二丁目３２５－３,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,国高,1,35.91089,136.189385
越前市サッカー場,瓜生町６－１６－２,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,国高,1,35.929901,136.183705
瓜生水と緑公園体育館,瓜生町１９－７－１,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,国高,1,35.926675,136.183383
式部ふれあい館,国高一丁目１３－１１,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,国高,1,35.912437,136.184934
大虫小学校,高森町１４－１５,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,大虫,1,35.906205,136.141857
大虫公民館,丹生郷町１３－２０－１,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,大虫,1,35.907655,136.141534
大虫児童館,丹生郷町１３－２０－４,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,大虫,1,35.908122,136.141507
上太田保育園,上太田町１１－２,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,大虫,1,35.900567,136.151302
大虫体育館,丹生郷町１３－２０－１,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,大虫,1,35.907912,136.141503
坂口小学校,湯谷町２４－２５,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,坂口,1,35.859022,136.08713
坂口公民館,湯谷町２４－１８－１,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,坂口,1,35.85991,136.08709
白崎公園屋内ゲートボール場,白崎町３５－２３－１,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,王子保,1,35.8649,136.142883
斎場,春日野町１０５－１１,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,王子保,1,35.860141,136.140726
王子保小学校,今宿町５－１４,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,王子保,1,35.8665912,136.16821
武生第六中学校,四郎丸町１６－１,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,王子保,1,35.86572,136.159343
王子保公民館,四郎丸町６５－２－１,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,王子保,1,35.867487,136.168839
王子保児童センター,四郎丸町５５－４－４,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,王子保,1,35.866817,136.166081
越前市さんハウスたけふ,白崎町３５－８－１,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,王子保,1,35.865049,136.14232
しきぶ温泉湯楽里,白崎町６８－８,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,王子保,1,35.863359,136.144653
しきぶ温泉湯楽里,白崎町６８－８,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,王子保,1,35.863359,136.144653
北新庄小学校,北町４７－６,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,北新庄,1,35.913959,136.210044
北新庄児童館,北町５４－２５,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,北新庄,1,35.912674,136.211103
認定こども園北新庄,北町３８－６,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,北新庄,1,35.913957,136.209114
北新庄体育館,北町５４－２５,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,北新庄,1,35.912632,136.211099
北日野小学校,小野谷町２－２,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,北日野,1,35.889448,136.190715
万葉中学校,西尾町４８－１８,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,北日野,1,35.892301,136.213458
北日野公民館,矢放町２１－１１,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,北日野,1,35.889667,136.188638
北日野児童センター,小野谷町１－１３,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,北日野,1,35.890077,136.19062
認定こども園北日野,矢放町１６－４,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,北日野,1,35.888842,136.187646
北日野体育館,矢放町２１－１１,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,北日野,1,35.889644,136.188729
味真野小学校,池泉町９－１,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,味真野,1,35.890705,136.233361
味真野公民館,味真野町７－２－１,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,味真野,1,35.887373,136.226656
味真野児童センター,池泉町１４－１,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,味真野,1,35.8906,136.234207
東運動公園事務所,宮谷町３５－１０,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,味真野,1,35.8933,136.221279
万葉菊花園,余川町２２－９６－１,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,味真野,1,35.886781,136.237665
白山小学校,都辺町２４－２,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,白山,1,35.88802,136.052779
武生第五中学校,都辺町３６－７３,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,白山,1,35.888484,136.056771
白山公民館,都辺町３６－８４,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,白山,1,35.887877,136.05577
越前市みどりと自然の村,安養寺町５－３,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,白山,1,35.920972,136.08052
金華山グリーンランド,米口町５８－２５,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,白山,1,35.866066,136.057271
越前市あいぱーく今立（今立総合支所）,粟田部町９－１－９,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,粟田部,1,35.919187,136.246447
花筺小学校,粟田部町４１－１２,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,粟田部,1,35.914096,136.24027
花筺公民館,粟田部町１７－１０,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,粟田部,1,35.919141,136.238589
花筐児童館,粟田部町１７－１７,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,粟田部,1,35.919115,136.238784
いまだて芸術館,粟田部町１１－１－１,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,粟田部,1,35.918724,136.247278
越前市社会福祉センター,杉尾町１－２７－１,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,岡本,1,35.92,136.252736
越前市今立図書館,定友町２１－３－１,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,岡本,1,35.919203,136.247172
岡本小学校,定友町１０－１５,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,岡本,1,35.915276,136.244924
